=== Knee/Ankle Issue Frames ===
총 문제 프레임: 489

{'frame': 88, 'left_knee_score': 0.060337282717227936, 'right_knee_score': 0.03354044258594513, 'knee_gap': 152.23558624586775, 'left_ankle_score': 0.04364042729139328, 'right_ankle_score': 0.07385843247175217, 'ankle_gap': 179.09019467037925}
{'frame': 89, 'left_knee_score': 0.05994686484336853, 'right_knee_score': 0.03350774198770523, 'knee_gap': 165.36136080802552, 'left_ankle_score': 0.044437263160943985, 'right_ankle_score': 0.06960832327604294, 'ankle_gap': 194.79915146048026}
{'frame': 90, 'left_knee_score': 0.06163536012172699, 'right_knee_score': 0.034387022256851196, 'knee_gap': 164.23875159993057, 'left_ankle_score': 0.044075533747673035, 'right_ankle_score': 0.05506318062543869, 'ankle_gap': 213.32930029370456}
{'frame': 91, 'left_knee_score': 0.05806760489940643, 'right_knee_score': 0.04060033708810806, 'knee_gap': 179.9283519831091, 'left_ankle_score': 0.04468560218811035, 'right_ankle_score': 0.05196106806397438, 'ankle_gap': 229.17684151850588}
{'frame': 92, 'left_knee_score': 0.056064680218696594, 'right_knee_score': 0.044945016503334045, 'knee_gap': 189.93306797970178, 'left_ankle_score': 0.039708949625492096, 'right_ankle_score': 0.04628565534949303, 'ankle_gap': 243.74383682566426}
{'frame': 93, 'left_knee_score': 0.05429093539714813, 'right_knee_score': 0.03719238564372063, 'knee_gap': 197.03047016074095, 'left_ankle_score': 0.03681328892707825, 'right_ankle_score': 0.044062141329050064, 'ankle_gap': 254.1231421075917}
{'frame': 94, 'left_knee_score': 0.05486886948347092, 'right_knee_score': 0.030426647514104843, 'knee_gap': 202.79145819497512, 'left_ankle_score': 0.03615795075893402, 'right_ankle_score': 0.04370919242501259, 'ankle_gap': 260.2908870313674}
{'frame': 95, 'left_knee_score': 0.05326206609606743, 'right_knee_score': 0.032751478254795074, 'knee_gap': 214.08913609479785, 'left_ankle_score': 0.03283219411969185, 'right_ankle_score': 0.03883666545152664, 'ankle_gap': 272.40869959536997}
{'frame': 96, 'left_knee_score': 0.055433109402656555, 'right_knee_score': 0.028165284544229507, 'knee_gap': 217.94788627734704, 'left_ankle_score': 0.0364055298268795, 'right_ankle_score': 0.03674936294555664, 'ankle_gap': 288.20208886519686}
{'frame': 97, 'left_knee_score': 0.05337423086166382, 'right_knee_score': 0.020523637533187866, 'knee_gap': 231.55697996392286, 'left_ankle_score': 0.03202243521809578, 'right_ankle_score': 0.03327952325344086, 'ankle_gap': 291.41312586508553}
{'frame': 98, 'left_knee_score': 0.05507511645555496, 'right_knee_score': 0.017626088112592697, 'knee_gap': 231.30111810612053, 'left_ankle_score': 0.035392142832279205, 'right_ankle_score': 0.028490159660577774, 'ankle_gap': 293.82899414814017}
{'frame': 99, 'left_knee_score': 0.05594373866915703, 'right_knee_score': 0.01771455444395542, 'knee_gap': 26.032749198289075, 'left_ankle_score': 0.03814009577035904, 'right_ankle_score': 0.023448679596185684, 'ankle_gap': 7.735521824540942}
{'frame': 100, 'left_knee_score': 0.055381275713443756, 'right_knee_score': 0.018029432743787766, 'knee_gap': 23.3357935724617, 'left_ankle_score': 0.03600481152534485, 'right_ankle_score': 0.022156555205583572, 'ankle_gap': 8.284252892443536}
{'frame': 101, 'left_knee_score': 0.05397374927997589, 'right_knee_score': 0.021779686212539673, 'knee_gap': 23.521751240637023, 'left_ankle_score': 0.03613026812672615, 'right_ankle_score': 0.026142584159970284, 'ankle_gap': 7.1608335650317745}
{'frame': 102, 'left_knee_score': 0.053246770054101944, 'right_knee_score': 0.018136579543352127, 'knee_gap': 23.1839609671182, 'left_ankle_score': 0.03428990766406059, 'right_ankle_score': 0.02194443717598915, 'ankle_gap': 5.347607943659603}
{'frame': 103, 'left_knee_score': 0.053208306431770325, 'right_knee_score': 0.019550077617168427, 'knee_gap': 24.71930403688113, 'left_ankle_score': 0.035035375505685806, 'right_ankle_score': 0.023526404052972794, 'ankle_gap': 6.338720422512996}
{'frame': 104, 'left_knee_score': 0.052240341901779175, 'right_knee_score': 0.02057485282421112, 'knee_gap': 24.48808954619596, 'left_ankle_score': 0.034929074347019196, 'right_ankle_score': 0.023966610431671143, 'ankle_gap': 6.768745100372858}
{'frame': 105, 'left_knee_score': 0.05264478921890259, 'right_knee_score': 0.021180149167776108, 'knee_gap': 26.28078687395831, 'left_ankle_score': 0.03539349138736725, 'right_ankle_score': 0.026921184733510017, 'ankle_gap': 8.476986687030852}
{'frame': 106, 'left_knee_score': 0.05188356339931488, 'right_knee_score': 0.01732940599322319, 'knee_gap': 25.595018587700206, 'left_ankle_score': 0.03617917001247406, 'right_ankle_score': 0.028959840536117554, 'ankle_gap': 321.5250628402894}
{'frame': 107, 'left_knee_score': 0.05010144039988518, 'right_knee_score': 0.01889955624938011, 'knee_gap': 26.236152472959937, 'left_ankle_score': 0.03359287232160568, 'right_ankle_score': 0.02825239859521389, 'ankle_gap': 318.67186349747243}
{'frame': 108, 'left_knee_score': 0.0529664009809494, 'right_knee_score': 0.017496023327112198, 'knee_gap': 22.304532964585327, 'left_ankle_score': 0.034801632165908813, 'right_ankle_score': 0.025684915482997894, 'ankle_gap': 317.09345834571695}
{'frame': 109, 'left_knee_score': 0.05376233533024788, 'right_knee_score': 0.016669481992721558, 'knee_gap': 24.116828183514215, 'left_ankle_score': 0.033653486520051956, 'right_ankle_score': 0.02892136201262474, 'ankle_gap': 317.47892644400645}
{'frame': 110, 'left_knee_score': 0.05276191979646683, 'right_knee_score': 0.01664341613650322, 'knee_gap': 25.31982942133213, 'left_ankle_score': 0.032995615154504776, 'right_ankle_score': 0.030689969658851624, 'ankle_gap': 314.1386123607344}
{'frame': 111, 'left_knee_score': 0.05287490040063858, 'right_knee_score': 0.01891442760825157, 'knee_gap': 23.62337692878012, 'left_ankle_score': 0.0352240689098835, 'right_ankle_score': 0.026185398921370506, 'ankle_gap': 311.60853783143807}
{'frame': 112, 'left_knee_score': 0.05580539256334305, 'right_knee_score': 0.017950059846043587, 'knee_gap': 25.640039185237992, 'left_ankle_score': 0.03409095108509064, 'right_ankle_score': 0.0239618681371212, 'ankle_gap': 310.1082520217239}
